label,user_percent,year,month
AW,0.0011148897883468,2017,2
fL,0.000469252844143363,2017,2
L,0.00600223446213562,2017,3
C,0.00293408969995486,2017,3
R,0.00189468082130009,2017,3
fR,0.00164126589687923,2017,3
AW,0.00142921051990004,2017,3
fL,0.00040512907600524,2017,3
L,0.00516734025674037,2017,4
C,0.00314562299735684,2017,4
R,0.00194468000341682,2017,4
fR,0.00152841550058202,2017,4
AW,0.000987865147655286,2017,4
fL,0.000318756258143788,2017,4
L,0.00601873795345398,2017,5
C,0.00392970423410005,2017,5
fR,0.00171679760665365,2017,5
R,0.0014278135459187,2017,5
AW,0.00104243679942309,2017,5
fL,0.000193509276494615,2017,5
L,0.00498830911334366,2017,6
C,0.00341210158229478,2017,6
fR,0.0015879339348972,2017,6
R,0.00136899656137713,2017,6
AW,0.00113343940103923,2017,6
fL,0.00026373619661892,2017,6
L,0.00522352712526894,2017,7
C,0.00335789619067834,2017,7
R,0.00131826480995194,2017,7
fR,0.00117709792197501,2017,7
AW,0.00113981597346433,2017,7
fL,0.000489850022123015,2017,7
L,0.00643234769230769,2017,8
C,0.00462465846153846,2017,8
R,0.00191650769230769,2017,8
fR,0.00164011384615385,2017,8
AW,0.00163217846153846,2017,8
fL,0.000291615384615385,2017,8
L,0.00512554321415813,2017,9
C,0.00360509953708854,2017,9
fR,0.00157045257857955,2017,9
R,0.00129677123078589,2017,9
AW,0.0011468850492201,2017,9
fL,0.000479151515008732,2017,9
L,0.00616056961339271,2017,10
C,0.00312609436105826,2017,10
R,0.00167267743856299,2017,10
fR,0.00151541187402146,2017,10
AW,0.00105505688591056,2017,10
fL,0.000310261365040369,2017,10
L,0.00490024918375702,2017,11
C,0.00301256358133122,2017,11
fR,0.00151169875179864,2017,11
R,0.00136257474343001,2017,11
AW,0.00117576101743307,2017,11
fL,0.000296928906870834,2017,11
L,0.00516773130789703,2017,12
C,0.00298677480715345,2017,12
R,0.00165620833546169,2017,12
fR,0.00130553145543966,2017,12
AW,0.00121919581098959,2017,12
fL,0.000223450094299283,2017,12
L,0.00576082795016068,2018,1
C,0.00363611993862594,2018,1
R,0.00139212859599826,2018,1
fR,0.00128408279176578,2018,1
AW,0.00122403527164868,2018,1
fL,0.000291893620315695,2018,1
L,0.00534582564932151,2018,2
C,0.00402390248574849,2018,2
R,0.00149091138762437,2018,2
fR,0.00117339233237804,2018,2
AW,0.000830339978457348,2018,2
fL,0.000231369485138849,2018,2
L,0.00476178951371603,2018,3
C,0.00287365119084975,2018,3
fR,0.00153032357728809,2018,3
R,0.00152629545778326,2018,3
AW,0.00131591617371354,2018,3
fL,0.000689857847794554,2018,3
L,0.0061538148518582,2018,4
C,0.00292157449779178,2018,4
AW,0.00168205716026484,2018,4
fR,0.00136572919015197,2018,4
R,0.00133954721186317,2018,4
fL,0.000588263405579145,2018,4
L,0.0057510272761695,2018,5
C,0.00421960280867958,2018,5
R,0.00147829164637818,2018,5
fR,0.00134515820157397,2018,5
AW,0.00121824102139908,2018,5
fL,0.000299466531202274,2018,5
L,0.00500316815768997,2018,6
C,0.0033124096068647,2018,6
R,0.00205577720033743,2018,6
AW,0.00120377583388064,2018,6
fR,0.000957631661846778,2018,6
fL,0.000480733760278489,2018,6
L,0.00501111490672004,2018,7
C,0.00413992582684931,2018,7
R,0.00213015136803003,2018,7
AW,0.00120027784508104,2018,7
fR,0.00115523956278848,2018,7
fL,0.000501316994838369,2018,7
L,0.00615236056245957,2018,8
C,0.00384469851577169,2018,8
fR,0.00179144432687878,2018,8
R,0.00133552373896217,2018,8
AW,0.00125892742834412,2018,8
fL,0.000466401004192197,2018,8
L,0.00652524369843641,2018,9
C,0.00406640305671897,2018,9
R,0.0019613474975857,2018,9
fR,0.0017591949219457,2018,9
AW,0.00135179815926678,2018,9
fL,0.000470236429364963,2018,9
L,0.00598361697281121,2018,10
C,0.00435624645035385,2018,10
R,0.00251187557839087,2018,10
fR,0.00156981171741754,2018,10
AW,0.00154758092274543,2018,10
fL,0.000583691926149714,2018,10
L,0.00640405527666227,2018,11
C,0.00490946749491249,2018,11
R,0.00193256069713022,2018,11
fR,0.00169900706538823,2018,11
AW,0.00142140871197985,2018,11
fL,0.00057411017077048,2018,11
L,0.00596258099449617,2018,12
C,0.00344076141323459,2018,12
R,0.00158832159211873,2018,12
fR,0.00143726705812685,2018,12
AW,0.00122320293778184,2018,12
fL,0.000772672625844822,2018,12
L,0.00661170461538462,2019,1
C,0.00539491076923077,2019,1
AW,0.00286082153846154,2019,1
R,0.00205815692307692,2019,1
fR,0.00136838461538462,2019,1
fL,0.000536876923076923,2019,1
L,0.00693561230769231,2019,2
C,0.00422126769230769,2019,2
AW,0.00256718153846154,2019,2
R,0.00223109230769231,2019,2
fR,0.00209062153846154,2019,2
fL,0.000415603076923077,2019,2
L,0.00695606153846154,2019,3
C,0.00384793538461538,2019,3
R,0.00229065538461538,2019,3
AW,0.001787,2019,3
fR,0.00162245538461538,2019,3
fL,0.000399710769230769,2019,3
L,0.00611621846153846,2019,4
C,0.00380311692307692,2019,4
AW,0.00302425846153846,2019,4
R,0.00216154769230769,2019,4
fR,0.000978464615384615,2019,4
fL,0.000416215384615385,2019,4
L,0.00656026769230769,2019,5
C,0.00436798461538462,2019,5
R,0.00254148307692308,2019,5
AW,0.00226175692307692,2019,5
fR,0.00110709538461538,2019,5
fL,0.000321593846153846,2019,5
L,0.00631418461538461,2019,6
C,0.00450003384615385,2019,6
AW,0.00313778461538462,2019,6
R,0.00239006461538461,2019,6
fR,0.00125065538461538,2019,6
fL,0.000429461538461539,2019,6
L,0.00701742769230769,2019,7
C,0.00459744923076923,2019,7
R,0.00302459076923077,2019,7
AW,0.00255004615384615,2019,7
fR,0.00134795076923077,2019,7
fL,0.000278258461538462,2019,7
L,0.00663314461538462,2019,8
C,0.00481166461538462,2019,8
AW,0.0030548,2019,8
R,0.00268237846153846,2019,8
fR,0.00099796,2019,8
fL,0.00034228,2019,8
L,0.00703750769230769,2019,9
C,0.0063958,2019,9
R,0.00267524923076923,2019,9
AW,0.00189052615384615,2019,9
fR,0.00135406769230769,2019,9
fL,0.000212476923076923,2019,9
L,0.00783149846153846,2019,10
C,0.00544563076923077,2019,10
R,0.00345736307692308,2019,10
AW,0.00193301538461538,2019,10
fR,0.00113886769230769,2019,10
fL,0.00020232,2019,10
L,0.00677709230769231,2019,11
C,0.00468516307692308,2019,11
AW,0.00272798769230769,2019,11
R,0.00272586153846154,2019,11
fR,0.000925966153846154,2019,11
fL,0.000226390769230769,2019,11
L,0.00663706769230769,2019,12
C,0.00473217846153846,2019,12
R,0.00329748,2019,12
AW,0.00215288923076923,2019,12
fR,0.000872636923076923,2019,12
fL,0.000360181538461538,2019,12
L,0.0126910307692308,2020,1
C,0.00884651076923077,2020,1
R,0.00507856,2020,1
AW,0.0031914,2020,1
fR,0.00110918153846154,2020,1
fL,0.000304153846153846,2020,1
L,0.00880706153846154,2020,2
C,0.00622581538461538,2020,2
R,0.00330410153846154,2020,2
AW,0.00248017230769231,2020,2
fR,0.00078484,2020,2
fL,0.000182172307692308,2020,2
L,0.0115376430769231,2020,3
C,0.00665987692307692,2020,3
R,0.00292190153846154,2020,3
AW,0.00238534461538462,2020,3
fR,0.00118025846153846,2020,3
fL,0.000289095384615385,2020,3
L,0.0109243692307692,2020,4
C,0.00651259384615385,2020,4
R,0.00329848,2020,4
AW,0.00186043076923077,2020,4
fR,0.00125700923076923,2020,4
fL,0.000361867692307692,2020,4
L,0.00928788307692308,2020,5
C,0.00628479692307692,2020,5
R,0.00285086769230769,2020,5
AW,0.00237136,2020,5
fR,0.00134612615384615,2020,5
fL,0.000299550769230769,2020,5
L,0.00949355384615385,2020,6
C,0.00682156923076923,2020,6
R,0.00416303076923077,2020,6
AW,0.00225617230769231,2020,6
fR,0.000904889230769231,2020,6
fL,0.000200113846153846,2020,6
L,0.00843968307692308,2020,7
C,0.00550616,2020,7
R,0.00371906153846154,2020,7
AW,0.00262219076923077,2020,7
fR,0.000823030769230769,2020,7
fL,0.000252178461538461,2020,7
L,0.00824387384615385,2020,8
C,0.00504226153846154,2020,8
R,0.00384457846153846,2020,8
AW,0.00184457538461538,2020,8
fR,0.000797830769230769,2020,8
fL,0.000179686153846154,2020,8
L,0.00761430769230769,2020,9
C,0.00508078769230769,2020,9
R,0.00369115076923077,2020,9
AW,0.00214041538461538,2020,9
fR,0.00110128923076923,2020,9
fL,0.000228590769230769,2020,9
L,0.00731123692307692,2020,10
C,0.00405256307692308,2020,10
R,0.00335411692307692,2020,10
AW,0.00176780923076923,2020,10
fR,0.000573301538461538,2020,10
fL,0.000164956923076923,2020,10
L,0.00767977538461538,2020,11
C,0.00450938153846154,2020,11
R,0.00385735384615385,2020,11
AW,0.00171220615384615,2020,11
fR,0.000730704615384615,2020,11
fL,0.000337566153846154,2020,11
L,0.00608473230769231,2020,12
C,0.00408944307692308,2020,12
R,0.00306672,2020,12
AW,0.00154729230769231,2020,12
fR,0.000884310769230769,2020,12
fL,0.000279950769230769,2020,12
L,0.0086698,2021,1
C,0.00622208,2021,1
R,0.00379137230769231,2021,1
AW,0.00212268,2021,1
fR,0.000789547692307692,2021,1
fL,0.000313421538461538,2021,1
L,0.00695928,2021,2
C,0.00466376307692308,2021,2
R,0.00298454153846154,2021,2
AW,0.00165821538461538,2021,2
fR,0.000665901538461538,2021,2
fL,0.000170381538461538,2021,2
L,0.00686880615384615,2021,3
C,0.00461599692307692,2021,3
R,0.00236405846153846,2021,3
