year,month,label,median_duration
2021,7,L,169.6666667
2021,7,fR,93.66666667
2021,7,C,126.6666667
2021,7,AW,106.6666667
2021,8,R,124.3333333
2021,8,L,165.3333333
2021,8,fR,88.66666667
2021,8,C,126
2021,8,AW,111
2021,9,R,142.3333333
2021,9,L,160.3333333
2021,9,fR,86
2021,9,C,137.6666667
2021,9,AW,116
2021,10,R,151.3333333
2021,10,L,161.3333333
2021,10,fR,99
2021,10,C,127.3333333
2021,10,AW,114
